ID,Job Title,Publishing Date,Start Date,Salary,Duration,Location,Work Mode,Skills,Description,Plateforme,Scrap Date,Company Name,Number of Candidates,Number of Employees,Sector,Description E,Experience,Contract Type,Education
11,Register Your Interest,2025-07-21T13:38:30Z,N/A,31980.78 - 31980.78,N/A,"Brighton, East Sussex",On-site,N/A,"Register Your Interest Why choose Reiss? With the intrinsic sustainability, quality and timeless elegance of our designs, our continued success comes as no surprise. With standalone stores, concessions and franchise operations in over 230 locations internationally, as well as online and app, our presence as a leading luxury brand is well established. Working at Reiss, our common purpose is to continue to grow our business, to walk in the shoes of our customers, and to be exceptional in everythi…",Adzuna,2025-07-21,REISS,N/A,N/A,Retail Jobs,"Register Your Interest Why choose Reiss? With the intrinsic sustainability, quality and timeless elegance of our designs, our continued success comes as no surprise. With standalone stores, concessions and franchise operations in over 230 locations internationally, as well as online and app, our presence as a leading luxury brand is well established. Working at Reiss, our common purpose is to continue to grow our business, to walk in the shoes of our customers, and to be exceptional in everythi…",N/A,permanent,N/A
12,Menswear Formal Suiting,2025-07-21T13:38:25Z,N/A,32676.43 - 32676.43,N/A,"Knightsbridge, South West London",On-site,N/A,"Menswear Formal Suiting Menswear Formal Suiting Harrods is one of the world’s leading luxury department stores and we’re becoming a destination for top designers, and the most sought-after brands from around the globe. As a Sales Associate within our cutting-edge Menswear Formal Suiting department, you’ll enjoy a package that includes a salary of £27,800  commission, as well as access to our renowned Harrods benefits, including generous discounts across our store and restaurants. It is essentia…",Adzuna,2025-07-21,Harrods,N/A,N/A,Sales Jobs,"Menswear Formal Suiting Menswear Formal Suiting Harrods is one of the world’s leading luxury department stores and we’re becoming a destination for top designers, and the most sought-after brands from around the globe. As a Sales Associate within our cutting-edge Menswear Formal Suiting department, you’ll enjoy a package that includes a salary of £27,800  commission, as well as access to our renowned Harrods benefits, including generous discounts across our store and restaurants. It is essentia…",N/A,permanent,N/A
13,Store Manager,2025-07-21T13:38:23Z,N/A,34971.41 - 34971.41,N/A,"Barrow-In-Furness, Cumbria",On-site,N/A,"• • • • • • Store Manager Job Overview: To manage a Clarks store in line with the business objectives. To lead and motivate the store team in order to maximise sales and profit, delivering set targets and KPIs. Responsible for the day to day running of the store, focussing on opportunities to enhance the consumer experience through delivery of the highest retail standards and team behaviours. Dimensions Financial: Controllable Costs, Sales, Stock People: Store Management Team, Store Team Member…",Adzuna,2025-07-21,Clarks,N/A,N/A,Retail Jobs,"• • • • • • Store Manager Job Overview: To manage a Clarks store in line with the business objectives. To lead and motivate the store team in order to maximise sales and profit, delivering set targets and KPIs. Responsible for the day to day running of the store, focussing on opportunities to enhance the consumer experience through delivery of the highest retail standards and team behaviours. Dimensions Financial: Controllable Costs, Sales, Stock People: Store Management Team, Store Team Member…",N/A,N/A,N/A
14,Sous Chef,2025-07-21T13:33:05Z,N/A,N/A,N/A,"Besselsleigh, Abingdon",On-site,N/A,"Calling all super star Sous Chefs . Are you ready to fast track your career? Our Sous chefs are our Head Chefs of the future so this is a great time to join us and grow your career at The Greyhound! There’s plenty in it for you: Your Bread and Butter Basic up to £33,000, plus tronc (that’s your card tips that are paid into your bank). Paid overtime. Great cash tips. The Extras We know you work hard so we feed you well - free meals on shift, choose from the menu! 30% discount for you, your frien…",Adzuna,2025-07-21,Brunning & Price,N/A,N/A,Hospitality & Catering Jobs,"Calling all super star Sous Chefs . Are you ready to fast track your career? Our Sous chefs are our Head Chefs of the future so this is a great time to join us and grow your career at The Greyhound! There’s plenty in it for you: Your Bread and Butter Basic up to £33,000, plus tronc (that’s your card tips that are paid into your bank). Paid overtime. Great cash tips. The Extras We know you work hard so we feed you well - free meals on shift, choose from the menu! 30% discount for you, your frien…",N/A,N/A,N/A
15,Seasonal Kitchen Assistant,2025-07-21T13:32:59Z,N/A,20898.18 - 20898.18,N/A,"Bournemouth, Dorset",On-site,N/A,"Shepherd Neame is looking for a full time, Seasonal Kitchen Porter to join our team until September, so if you enjoy hospitality but prefer working behind the scenes supporting your colleagues and contributing to the teams overall success; then this may be just the job for you. Urban Reef is a contemporary Bournemouth seaside bar and restaurant located next to the beach on Boscombe Promenade. It is a stylish two-storey venue comprising a bar, café, deli and restaurant and boasts stunning panora…",Adzuna,2025-07-21,Shepherd Neame,N/A,N/A,Hospitality & Catering Jobs,"Shepherd Neame is looking for a full time, Seasonal Kitchen Porter to join our team until September, so if you enjoy hospitality but prefer working behind the scenes supporting your colleagues and contributing to the teams overall success; then this may be just the job for you. Urban Reef is a contemporary Bournemouth seaside bar and restaurant located next to the beach on Boscombe Promenade. It is a stylish two-storey venue comprising a bar, café, deli and restaurant and boasts stunning panora…",N/A,N/A,N/A
16,Fitness Supervisor - Birmingham Kingsbury Road,2025-07-21T13:32:55Z,N/A,30034.69 - 30034.69,N/A,"Birmingham, West Midlands",On-site,N/A,"Role: Fitness Supervisor (18 hour contract) Reporting to: General Manager Based: LOCATION The Gym Group is simply the best in our industry! Our amazing teams have skills, abilities and can-do attitudes that make this a great place to work! We have strong, embedded values and an easy-going culture which ensures we put our people first. We pride ourselves on being fun, innovative, inclusive and engaging and we are now on the lookout for a Fitness Supervisor to join our amazing LOCATION gym . So, …",Adzuna,2025-07-21,TheGymGroup,N/A,N/A,Consultancy Jobs,"Role: Fitness Supervisor (18 hour contract) Reporting to: General Manager Based: LOCATION The Gym Group is simply the best in our industry! Our amazing teams have skills, abilities and can-do attitudes that make this a great place to work! We have strong, embedded values and an easy-going culture which ensures we put our people first. We pride ourselves on being fun, innovative, inclusive and engaging and we are now on the lookout for a Fitness Supervisor to join our amazing LOCATION gym . So, …",N/A,N/A,N/A
17,British Sign Language Interpreter,2025-07-21T13:32:50Z,N/A,50000 - 50000,N/A,"Chadderton, Oldham",On-site,N/A,"We're looking for a Registered Qualified BSL Interpreter (NRCPD/RBSLI registered) to join our specialist team at All Saints Hospital in Oldham, Greater Manchester. At All Saints Hospital, inclusive care is not just a principle—it's our practice. As a BSL Interpreter, you will play a crucial role in supporting Deaf staff and service users with complex linguistic and communication needs, to access vital Mental Health interventions, therapy and training. Working in a collaborative and culturally s…",Adzuna,2025-07-21,Elysium Healthcare,N/A,N/A,Healthcare & Nursing Jobs,"We're looking for a Registered Qualified BSL Interpreter (NRCPD/RBSLI registered) to join our specialist team at All Saints Hospital in Oldham, Greater Manchester. At All Saints Hospital, inclusive care is not just a principle—it's our practice. As a BSL Interpreter, you will play a crucial role in supporting Deaf staff and service users with complex linguistic and communication needs, to access vital Mental Health interventions, therapy and training. Working in a collaborative and culturally s…",N/A,N/A,N/A
18,Kitchen Porter,2025-07-21T13:32:50Z,N/A,N/A,N/A,"Manchester, Greater Manchester",On-site,N/A,"Are you ready to be an essential part of a bustling kitchen, working behind the scenes to ensure a smooth culinary experience? We are seeking a dedicated and hardworking Kitchen Porter to join our vibrant team and contribute to the success of The Wharf, Castlefield ! Your Bread and Butter Basic up to £12.21 per hour, plus tronc (that’s your card tips that are paid into your bank) Paid overtime Great cash tips The Extras We know you work hard so we feed you well - free meals on shift, choose fro…",Adzuna,2025-07-21,Brunning & Price,N/A,N/A,Hospitality & Catering Jobs,"Are you ready to be an essential part of a bustling kitchen, working behind the scenes to ensure a smooth culinary experience? We are seeking a dedicated and hardworking Kitchen Porter to join our vibrant team and contribute to the success of The Wharf, Castlefield ! Your Bread and Butter Basic up to £12.21 per hour, plus tronc (that’s your card tips that are paid into your bank) Paid overtime Great cash tips The Extras We know you work hard so we feed you well - free meals on shift, choose fro…",N/A,N/A,N/A
19,Care Assistant,2025-07-21T13:32:50Z,N/A,12 - 12,N/A,"Fishcross, Alloa",On-site,N/A,"About the Home Marchglen Care Centre, Alloa, FK10 3GN. 37 Bedded Learning Disability, Dementia & Nursing Home Rated 8.3 on Carehome.co.uk About the role Care Assistant Part time - 22 hours per week - Alternate weekends, day shifts between 8-8 £12.60 per hour What will Aria Care Offer you? Blue Light Discount Card Holiday & days out discounts Long service awards Recognition programme And much more! We are looking for a compassionate care assistant to support residents in their everyday lives. If…",Adzuna,2025-07-21,Aria Healthcare,N/A,N/A,Social work Jobs,"About the Home Marchglen Care Centre, Alloa, FK10 3GN. 37 Bedded Learning Disability, Dementia & Nursing Home Rated 8.3 on Carehome.co.uk About the role Care Assistant Part time - 22 hours per week - Alternate weekends, day shifts between 8-8 £12.60 per hour What will Aria Care Offer you? Blue Light Discount Card Holiday & days out discounts Long service awards Recognition programme And much more! We are looking for a compassionate care assistant to support residents in their everyday lives. If…",N/A,N/A,N/A
20,Restaurant Crew Member,2025-07-21T13:32:50Z,N/A,N/A,N/A,"Snatchems, Morecambe",On-site,N/A,W hat’ s in it for you? [Hourly rates: 16-17 years £7.55 | 18-20 years £10.00 | 21 £12.21] Get trained to run a shift and you could earn £12.71 per hour whilst doing so! Flexible hours Lots of progression opportunities. Grow your career with us! A supportive team who’ll look out for you Access our internal learning platform THRIVE at BK. Drive your own development! Access to premium retail discounts from many of your favourite retailers 10% off with a national gym chain 70% off food and drink f…,Adzuna,2025-07-21,Burger King UK,N/A,N/A,Hospitality & Catering Jobs,W hat’ s in it for you? [Hourly rates: 16-17 years £7.55 | 18-20 years £10.00 | 21 £12.21] Get trained to run a shift and you could earn £12.71 per hour whilst doing so! Flexible hours Lots of progression opportunities. Grow your career with us! A supportive team who’ll look out for you Access our internal learning platform THRIVE at BK. Drive your own development! Access to premium retail discounts from many of your favourite retailers 10% off with a national gym chain 70% off food and drink f…,N/A,N/A,N/A
21,Cook,2025-07-21T13:32:50Z,N/A,28000 - 28000,N/A,"Hookwood, Horley",On-site,N/A,"Ready for a cook role that lets you unleash your creativity? If so, join Emerald Place Clinic as a Cook working alongside a dedicated team. Become a crucial part of the kitchen team working 37.5 hours a week , crafting daily meals for service users, staff and visitors. Dive into food preparation and elevate your role by providing guidance and training to your peers. Here’s the exciting part- the calendar is buzzing with activities, events and special occasions which you’ll also cater for. From …",Adzuna,2025-07-21,Elysium Healthcare,N/A,N/A,Hospitality & Catering Jobs,"Ready for a cook role that lets you unleash your creativity? If so, join Emerald Place Clinic as a Cook working alongside a dedicated team. Become a crucial part of the kitchen team working 37.5 hours a week , crafting daily meals for service users, staff and visitors. Dive into food preparation and elevate your role by providing guidance and training to your peers. Here’s the exciting part- the calendar is buzzing with activities, events and special occasions which you’ll also cater for. From …",N/A,N/A,N/A
22,Care Assistant,2025-07-21T13:32:50Z,N/A,12 - 12,N/A,"Sauchie, Alloa",On-site,N/A,"About the Home Beechwood Park, 136 Main Steet, Sauchie, Alloa FK10 3JZ 62 Bedded Nursing & Dementia Care Home Rated 9.7 on Carehome.co.uk About the role Care Assistant Full Time - 38.5 hours per week £12.60 per hour What will Aria Care Offer you? Blue Light Discount Card Holiday & days out discounts Long service awards Recognition programme And much more! We are looking for a compassionate care assistant to support residents in their everyday lives. If you are passionate about making a differen…",Adzuna,2025-07-21,Aria Healthcare,N/A,N/A,Social work Jobs,"About the Home Beechwood Park, 136 Main Steet, Sauchie, Alloa FK10 3JZ 62 Bedded Nursing & Dementia Care Home Rated 9.7 on Carehome.co.uk About the role Care Assistant Full Time - 38.5 hours per week £12.60 per hour What will Aria Care Offer you? Blue Light Discount Card Holiday & days out discounts Long service awards Recognition programme And much more! We are looking for a compassionate care assistant to support residents in their everyday lives. If you are passionate about making a differen…",N/A,N/A,N/A
23,Kitchen Assistant BANK,2025-07-21T13:32:50Z,N/A,12 - 12,N/A,"Willington Quay, Wallsend",On-site,N/A,"Package Description: If you are passionate about caring for the elderly and want to build a long-term career in one of our award-winning homes, then look no further than Akari Care. Our aim is to create an environment where our residents are valued, respected, and are offered the personalised care they deserve. Akari Care is committed to upholding values that we created and share. It is, therefore, vitally important that any new colleague embraces and actively promotes our values across the org…",Adzuna,2025-07-21,Akari Care,N/A,N/A,Hospitality & Catering Jobs,"Package Description: If you are passionate about caring for the elderly and want to build a long-term career in one of our award-winning homes, then look no further than Akari Care. Our aim is to create an environment where our residents are valued, respected, and are offered the personalised care they deserve. Akari Care is committed to upholding values that we created and share. It is, therefore, vitally important that any new colleague embraces and actively promotes our values across the org…",N/A,N/A,N/A
24,Restaurant Crew Member,2025-07-21T13:32:46Z,N/A,N/A,N/A,"Bolton, Greater Manchester",On-site,N/A,W hat’ s in it for you? [Hourly rates: 16-17 years £7.55 | 18-20 years £10.00 | 21 £12.21] Get trained to run a shift and you could earn £12.71 per hour whilst doing so! Flexible hours Lots of progression opportunities. Grow your career with us! A supportive team who’ll look out for you Access our internal learning platform THRIVE at BK. Drive your own development! Access to premium retail discounts from many of your favourite retailers 10% off with a national gym chain 70% off food and drink f…,Adzuna,2025-07-21,Burger King UK,N/A,N/A,Hospitality & Catering Jobs,W hat’ s in it for you? [Hourly rates: 16-17 years £7.55 | 18-20 years £10.00 | 21 £12.21] Get trained to run a shift and you could earn £12.71 per hour whilst doing so! Flexible hours Lots of progression opportunities. Grow your career with us! A supportive team who’ll look out for you Access our internal learning platform THRIVE at BK. Drive your own development! Access to premium retail discounts from many of your favourite retailers 10% off with a national gym chain 70% off food and drink f…,N/A,N/A,N/A
25,Care Assistant,2025-07-21T13:32:45Z,N/A,12 - 12,N/A,"Sauchie, Alloa",On-site,N/A,"About the Home Beechwood Park, 136 Main Steet, Sauchie, Alloa FK10 3JZ 62 Bedded Nursing & Dementia Care Home Rated 9.7 on Carehome.co.uk About the role Care Assistant 38.5 Hours Night Shifts / Alternate weekends Required £12.60 per hour What will Aria Care Offer you? Blue Light Discount Card Holiday & days out discounts Long service awards Recognition programme And much more! We are looking for a compassionate care assistant to support residents in their everyday lives. If you are passionate a…",Adzuna,2025-07-21,Aria Healthcare,N/A,N/A,Social work Jobs,"About the Home Beechwood Park, 136 Main Steet, Sauchie, Alloa FK10 3JZ 62 Bedded Nursing & Dementia Care Home Rated 9.7 on Carehome.co.uk About the role Care Assistant 38.5 Hours Night Shifts / Alternate weekends Required £12.60 per hour What will Aria Care Offer you? Blue Light Discount Card Holiday & days out discounts Long service awards Recognition programme And much more! We are looking for a compassionate care assistant to support residents in their everyday lives. If you are passionate a…",N/A,N/A,N/A
26,Occupational Therapist Assistant,2025-07-21T13:32:45Z,N/A,26328 - 26328,N/A,"Withdean, Brighton",On-site,N/A,"Are you an Occupational Therapist Assistant looking to work for a company that supports, values and recognises your dedication to delivering great healthcare? If so, this might be for you. Join Brighton & Hove Clinic as an Occupational Therapist Assistant and change the lives of young people aged 12 up to 18 years with eating disorders. Under the supervision of an Occupational Therapist, you will support the service in delivering structured activities and assisting in the planning for individua…",Adzuna,2025-07-21,Elysium Healthcare,N/A,N/A,Healthcare & Nursing Jobs,"Are you an Occupational Therapist Assistant looking to work for a company that supports, values and recognises your dedication to delivering great healthcare? If so, this might be for you. Join Brighton & Hove Clinic as an Occupational Therapist Assistant and change the lives of young people aged 12 up to 18 years with eating disorders. Under the supervision of an Occupational Therapist, you will support the service in delivering structured activities and assisting in the planning for individua…",N/A,N/A,N/A
27,Care Assistant,2025-07-21T13:32:45Z,N/A,12 - 12,N/A,"Lightwater, Surrey",On-site,N/A,"About the Home Moorlands Nursing Home, Lightwater GU18 5US 33 Bedded Residential and Nursing Home CQC Rating - Good Rated 9.1 on Carehome.co.uk About the role Care Assistant 36hrs per week (including every other weekend) £12.60ph What will Aria Care Offer you? Blue Light Discount Card Holiday & days out discounts Long service awards Recognition programme And much more! We are looking for a compassionate care assistant to support residents in their everyday lives. If you are passionate about mak…",Adzuna,2025-07-21,Aria Healthcare,N/A,N/A,Social work Jobs,"About the Home Moorlands Nursing Home, Lightwater GU18 5US 33 Bedded Residential and Nursing Home CQC Rating - Good Rated 9.1 on Carehome.co.uk About the role Care Assistant 36hrs per week (including every other weekend) £12.60ph What will Aria Care Offer you? Blue Light Discount Card Holiday & days out discounts Long service awards Recognition programme And much more! We are looking for a compassionate care assistant to support residents in their everyday lives. If you are passionate about mak…",N/A,N/A,N/A
28,Bank Laundry Assistant,2025-07-21T13:32:45Z,N/A,12 - 12,N/A,"Sompting, Lancing",On-site,N/A,"About the Home Rectory House Nursing Home, West Street, Lancing, West Sussex BN15 0DA 33 Bedded Residential and Nursing home CQC Rating – Good Rated 9.5 on Carehome.co.uk About the role Housekeeper Zero Hour Contract £12.21 per hour What will Aria Care Offer you? Blue Light Discount Card Holiday & days out discounts Long service awards Recognition programme And much more! We have an excellent opportunity for a Housekeeper that takes great pride in maintaining high standards of cleanliness and i…",Adzuna,2025-07-21,Aria Healthcare,N/A,N/A,Domestic help & Cleaning Jobs,"About the Home Rectory House Nursing Home, West Street, Lancing, West Sussex BN15 0DA 33 Bedded Residential and Nursing home CQC Rating – Good Rated 9.5 on Carehome.co.uk About the role Housekeeper Zero Hour Contract £12.21 per hour What will Aria Care Offer you? Blue Light Discount Card Holiday & days out discounts Long service awards Recognition programme And much more! We have an excellent opportunity for a Housekeeper that takes great pride in maintaining high standards of cleanliness and i…",N/A,contract,N/A
29,Bank Kitchen Assistant,2025-07-21T13:32:45Z,N/A,12 - 12,N/A,"Wood Burcote, Towcester",On-site,N/A,"About the role Bank Kitchen Assistant Covering Annual Leave and Sickness £12.21ph What will Aria Care Offer you? Blue Light Discount Card Holiday & days out discounts Long service awards Recognition programme And much more! Are you a passionate and a fast learner, looking for a place where you can grow in hospitality? We have a great opportunity for a Kitchen Assistant so why not get in touch! We are proud to be a diverse and inclusive employer and thrive on learning from each other’s cultures,…",Adzuna,2025-07-21,Aria Healthcare,N/A,N/A,Hospitality & Catering Jobs,"About the role Bank Kitchen Assistant Covering Annual Leave and Sickness £12.21ph What will Aria Care Offer you? Blue Light Discount Card Holiday & days out discounts Long service awards Recognition programme And much more! Are you a passionate and a fast learner, looking for a place where you can grow in hospitality? We have a great opportunity for a Kitchen Assistant so why not get in touch! We are proud to be a diverse and inclusive employer and thrive on learning from each other’s cultures,…",N/A,N/A,N/A
